年序,分至,Season,JD,年,月,日,時,分,秒,子輿紀,子輿日,年干支
24,春分,0,634179.1466659699,-2976,3,22,15,31,11.939796209335327,0,20908.646665969864,甲申
24,夏至,1,634273.1935862093,-2976,6,24,16,38,45.84848552942276,0,21002.693586209323,甲申
24,秋分,2,634363.1277537121,-2976,9,22,15,3,57.92072720825672,0,21092.62775371212,甲申
25,冬至,3,634451.7367607772,-2976,12,20,5,40,56.13114908337593,0,21181.23676077719,乙酉
25,春分,0,634544.3896115862,-2975,3,22,21,21,2.441050261259079,0,21273.88961158623,乙酉
25,夏至,1,634638.441563119,-2975,6,24,22,35,51.053477078676224,0,21367.941563118948,乙酉
25,秋分,2,634728.3782541661,-2975,9,22,21,4,41.15995153784752,0,21457.878254166106,乙酉
26,冬至,3,634816.9857848606,-2975,12,20,11,39,31.81195244193077,0,21546.48578486056,丙戌
26,春分,0,634909.6369241136,-2974,3,23,3,17,10.243416130542755,0,21639.136924113613,丙戌
26,夏至,1,635003.6801148809,-2974,6,25,4,19,21.92570999264717,0,21733.180114880903,丙戌
26,秋分,2,635093.6213807069,-2974,9,23,2,54,47.293076142668724,0,21823.1213807069,丙戌
27,冬至,3,635182.2321579849,-2974,12,20,17,34,18.449892327189445,0,21911.732157984865,丁亥
27,春分,0,635274.8765341719,-2973,3,23,9,2,12.552449405193329,0,22004.376534171868,丁亥
27,夏至,1,635368.9210998507,-2973,6,25,10,6,23.027098327875137,0,22098.421099850675,丁亥
27,秋分,2,635458.8653313487,-2973,9,23,8,46,4.628530293703079,0,22188.36533134873,丁亥
28,冬至,3,635547.4723964449,-2973,12,20,23,20,15.052837505936623,0,22276.97239644488,戊子
28,春分,0,635640.1160747814,-2972,3,22,14,47,8.861112892627716,0,22369.6160747814,戊子
28,夏至,1,635734.1706956993,-2972,6,24,16,5,48.10841828584671,0,22463.670695699286,戊子
28,秋分,2,635824.1137989626,-2972,9,22,14,43,52.23036490380764,0,22553.613798962557,戊子
29,冬至,3,635912.7225362684,-2972,12,20,5,20,27.13359072804451,0,22642.22253626841,己丑
29,春分,0,636005.3644597942,-2971,3,22,20,44,49.326222985982895,0,22734.864459794248,己丑
29,夏至,1,636099.4124862674,-2971,6,24,21,53,58.813502714037895,0,22828.912486267393,己丑
29,秋分,2,636189.3512745905,-2971,9,22,20,25,50.12461692094803,0,22918.851274590474,己丑
30,冬至,3,636277.9648113959,-2971,12,20,11,9,19.704601764678955,0,23007.464811395854,庚寅
30,春分,0,636370.60865641,-2970,3,23,2,36,27.91382499039173,0,23100.10865641001,庚寅
30,夏至,1,636464.6559789923,-2970,6,25,3,44,36.584938913583755,0,23194.15597899235,庚寅
30,秋分,2,636554.5984551738,-2970,9,23,2,21,46.52701444923878,0,23284.09845517378,庚寅
31,冬至,3,636643.2093447286,-2970,12,20,17,1,27.384552508592606,0,23372.709344728617,辛卯
31,春分,0,636735.849411354,-2969,3,23,8,23,9.140990003943443,0,23465.34941135405,辛卯
31,夏至,1,636829.896129441,-2969,6,25,9,30,25.583700835704803,0,23559.396129440982,辛卯
31,秋分,2,636919.8451008023,-2969,9,23,8,16,56.70931465923786,0,23649.345100802253,辛卯
32,冬至,3,637008.453646697,-2969,12,20,22,53,15.074619725346565,0,23737.953646696988,壬辰
32,春分,0,637101.0911986363,-2968,3,22,14,11,19.562179371714592,0,23830.591198636335,壬辰
32,夏至,1,637195.1364320284,-2968,6,24,15,16,27.727251648902893,0,23924.636432028376,壬辰
32,秋分,2,637285.0815874009,-2968,9,22,13,57,29.151435121893883,0,24014.58158740087,壬辰
33,冬至,3,637373.6893566645,-2968,12,20,4,32,40.4158166795969,0,24103.189356664545,癸巳
33,春分,0,637466.3328604447,-2967,3,22,19,59,19.142419695854187,0,24195.832860444672,癸巳
33,夏至,1,637560.3826725851,-2967,6,24,21,11,2.9113510251045227,0,24289.88267258508,癸巳
33,秋分,2,637650.3259110716,-2967,9,22,19,49,18.716587722301483,0,24379.825911071617,癸巳
34,冬至,3,637738.9358855879,-2967,12,20,10,27,40.514798015356064,0,24468.43588558794,甲午
34,春分,0,637831.5778925607,-2966,3,23,1,52,9.917248338460922,0,24561.077892560745,甲午
34,夏至,1,637925.6215144283,-2966,6,25,2,54,58.84660430252552,0,24655.12151442829,甲午
34,秋分,2,638015.5646356596,-2966,9,23,1,33,4.5209866762161255,0,24745.064635659568,甲午
35,冬至,3,638104.1790735016,-2966,12,20,16,17,51.95053920149803,0,24833.67907350161,乙未
35,春分,0,638196.815841316,-2965,3,23,7,34,48.68970349431038,0,24926.315841316013,乙未
35,夏至,1,638290.8610074063,-2965,6,25,8,39,51.03990085422993,0,25020.36100740626,乙未
35,秋分,2,638380.8048729555,-2965,9,23,7,19,1.0233590751886368,0,25110.304872955545,乙未
36,冬至,3,638469.4115627642,-2965,12,20,21,52,39.022827073931694,0,25198.911562764202,丙申
36,春分,0,638562.0510056921,-2964,3,22,13,13,26.891797855496407,0,25291.551005692105,丙申
36,夏至,1,638656.1074158144,-2964,6,24,14,34,40.726365745067596,0,25385.60741581442,丙申
36,秋分,2,638746.0526047054,-2964,9,22,13,15,45.046550408005714,0,25475.552604705445,丙申
37,冬至,3,638834.6555239852,-2964,12,20,3,43,57.272317707538605,0,25564.15552398516,丁酉
37,春分,0,638927.2965794202,-2963,3,22,19,7,4.461906775832176,0,25656.796579420217,丁酉
37,夏至,1,639021.3470735331,-2963,6,24,20,19,47.153260409832,0,25750.847073533107,丁酉
37,秋分,2,639111.291365675,-2963,9,22,18,59,33.99432398378849,0,25840.791365675046,丁酉
38,冬至,3,639199.8959300393,-2963,12,20,9,30,8.3553995937109,0,25929.395930039347,戊戌
38,春分,0,639292.5361842143,-2962,3,23,0,52,6.316114515066147,0,26022.03618421429,戊戌
38,夏至,1,639386.5863389248,-2962,6,25,2,4,19.68310497701168,0,26116.086338924826,戊戌
38,秋分,2,639476.5359355075,-2962,9,23,0,51,44.8278484493494,0,26206.035935507505,戊戌
39,冬至,3,639565.1392331659,-2962,12,20,15,20,29.74553257226944,0,26294.639233165886,己亥
39,春分,0,639657.7724759824,-2961,3,23,6,32,21.92488230764866,0,26387.272475982434,己亥
39,夏至,1,639751.8260809778,-2961,6,25,7,49,33.396481946110725,0,26481.3260809778,己亥
39,秋分,2,639841.7823385816,-2961,9,23,6,46,34.05345283448696,0,26571.28233858163,己亥
40,冬至,3,639930.3869418206,-2961,12,20,21,17,11.773301213979721,0,26659.886941820616,庚子
40,春分,0,640023.0143369278,-2960,3,22,12,20,38.71056139469147,0,26752.514336927794,庚子
40,夏至,1,640117.0671586507,-2960,6,24,13,36,42.50742249190807,0,26846.567158650723,庚子
40,秋分,2,640207.0182243774,-2960,9,22,12,26,14.586208909749985,0,26936.518224377418,庚子
41,冬至,3,640295.6242968725,-2960,12,20,2,58,59.249786362051964,0,27025.124296872527,辛丑
41,春分,0,640388.256223491,-2959,3,22,18,8,57.70962618291378,0,27117.756223491044,辛丑
41,夏至,1,640482.3123058146,-2959,6,24,19,29,43.22238028049469,0,27211.812305814587,辛丑
41,秋分,2,640572.2630200428,-2959,9,22,18,18,44.93169754743576,0,27301.763020042796,辛丑
42,冬至,3,640660.8711283589,-2959,12,20,8,54,25.490207076072693,0,27390.37112835888,壬寅
42,春分,0,640753.5042957757,-2958,3,23,0,6,11.155017614364624,0,27483.004295775667,壬寅
42,夏至,1,640847.5520154815,-2958,6,25,1,14,54.13760304450989,0,27577.052015481517,壬寅
42,秋分,2,640937.5062486352,-2958,9,23,0,8,59.88208472728729,0,27667.00624863524,壬寅
43,冬至,3,641026.1167927798,-2958,12,20,14,48,10.89617170393467,0,27755.616792779765,癸卯
43,春分,0,641118.7468285818,-2957,3,23,5,55,25.989466533064842,0,27848.24682858179,癸卯
43,夏至,1,641212.792013766,-2957,6,25,7,0,29.98938336968422,0,27942.29201376601,癸卯
43,秋分,2,641302.7481780972,-2957,9,23,5,57,22.58759692311287,0,28032.248178097187,癸卯
44,冬至,3,641391.3513748081,-2957,12,20,20,25,58.78342129290104,0,28120.851374808117,甲辰
44,春分,0,641483.9847817103,-2956,3,22,11,38,5.139771178364754,0,28213.484781710315,甲辰
44,夏至,1,641578.040211045,-2956,6,24,12,57,54.23428371548653,0,28307.54021104495,甲辰
44,秋分,2,641667.9959599727,-2956,9,22,11,54,10.941643863916397,0,28397.49595997273,甲辰
45,冬至,3,641756.5989639622,-2956,12,20,2,22,30.486331433057785,0,28486.09896396217,乙巳
45,春分,0,641849.2342598392,-2955,3,22,17,37,20.05010426044464,0,28578.73425983917,乙巳
45,夏至,1,641943.2853425402,-2955,6,24,18,50,53.59547697007656,0,28672.785342540243,乙巳
45,秋分,2,642033.2355857026,-2955,9,22,17,39,14.604703187942505,0,28762.735585702583,乙巳
46,冬至,3,642121.8432081362,-2955,12,20,8,14,13.182963654398918,0,28851.343208136153,丙午
46,春分,0,642214.476440151,-2954,3,22,23,26,4.429045468568802,0,28943.97644015099,丙午
46,夏至,1,642308.5282043472,-2954,6,25,0,40,36.85560151934624,0,29038.02820434724,丙午
46,秋分,2,642398.4789880303,-2954,9,22,23,29,44.565821662545204,0,29127.978988030343,丙午
47,冬至,3,642487.0852091301,-2954,12,20,14,2,42.06883862614632,0,29216.585209130077,丁未
47,春分,0,642579.7136182195,-2953,3,23,5,7,36.614163145422935,0,29309.21361821948,丁未
47,夏至,1,642673.771912743,-2953,6,25,6,31,33.26099418103695,0,29403.27191274299,丁未
47,秋分,2,642763.7289837948,-2953,9,23,5,29,44.19987112283707,0,29493.228983794805,丁未
48,冬至,3,642852.3321982989,-2953,12,20,19,58,21.93302370607853,0,29581.832198298885,戊申
48,春分,0,642944.9581472015,-2952,3,22,10,59,43.91820564866066,0,29674.458147201454,戊申
48,夏至,1,643039.015373972,-2952,6,24,12,22,8.31118181347847,0,29768.51537397201,戊申
48,秋分,2,643128.9693013032,-2952,9,22,11,15,47.63259217143059,0,29858.46930130315,戊申
49,冬至,3,643217.5684263948,-2952,12,20,1,38,32.04051375389099,0,29947.068426394835,己酉
49,春分,0,643310.199059087,-2951,3,22,16,46,38.70511405169964,0,30039.69905908697,己酉
49,夏至,1,643404.2589014751,-2951,6,24,18,12,49.087449833750725,0,30133.758901475114,己酉
49,秋分,2,643494.2162145571,-2951,9,22,17,11,20.93773014843464,0,30223.716214557062,己酉
50,冬至,3,643582.8152710493,-2951,12,20,7,33,59.41865712404251,0,30312.315271049272,庚戌
50,春分,0,643675.444673561,-2950,3,22,22,40,19.795672595500946,0,30404.944673561025,庚戌
50,夏至,1,643769.4983889823,-2950,6,24,23,57,40.80806739628315,0,30498.99838898226,庚戌
50,秋分,2,643859.4611911308,-2950,9,22,23,4,6.913701295852661,0,30588.961191130802,庚戌
51,冬至,3,643948.063951392,-2950,12,20,13,32,5.40026530623436,0,30677.56395139196,辛亥
51,春分,0,644040.6852662232,-2949,3,23,4,26,47.00168050825596,0,30770.185266223154,辛亥
51,夏至,1,644134.736871744,-2949,6,25,5,41,5.71868509054184,0,30864.23687174404,辛亥
51,秋分,2,644224.7008357481,-2949,9,23,4,49,12.208636701107025,0,30954.20083574811,辛亥
52,冬至,3,644313.3005522715,-2949,12,20,19,12,47.71626099944115,0,31042.80055227154,壬子
52,春分,0,644405.9207659649,-2948,3,22,10,5,54.179367050528526,0,31135.420765964896,壬子
52,夏至,1,644499.9826775716,-2948,6,24,11,35,3.342185541987419,0,31229.482677571592,壬子
52,秋分,2,644589.945437569,-2948,9,22,10,41,25.805966332554817,0,31319.445437569055,壬子
53,冬至,3,644678.5474328941,-2948,12,20,1,8,18.20205196738243,0,31408.04743289412,癸丑
53,春分,0,644771.1697162098,-2947,3,22,16,4,23.480522856116295,0,31500.669716209755,癸丑
53,夏至,1,644865.2250904317,-2947,6,24,17,24,7.8133030235767365,0,31594.725090431748,癸丑
53,秋分,2,644955.1837563951,-2947,9,22,16,24,36.55253894627094,0,31684.683756395127,癸丑
54,冬至,3,645043.7904451857,-2947,12,20,6,58,14.464047253131866,0,31773.290445185732,甲寅
54,春分,0,645136.4128621948,-2946,3,22,21,54,31.293632313609123,0,31865.91286219482,甲寅
54,夏至,1,645230.4634339912,-2946,6,24,23,7,20.69683849811554,0,31959.963433991186,甲寅
54,秋分,2,645320.4253552082,-2946,9,22,22,12,30.68999044597149,0,32049.925355208223,甲寅
55,冬至,3,645409.0290001761,-2946,12,20,12,41,45.61521649360657,0,32138.529000176117,乙卯
55,春分,0,645501.6487302773,-2945,3,23,3,34,10.295960158109665,0,32231.148730277317,乙卯
55,夏至,1,645595.7035079456,-2945,6,25,4,53,3.0865032970905304,0,32325.20350794564,乙卯
55,秋分,2,645685.6719862183,-2945,9,23,4,7,39.60926190018654,0,32415.17198621831,乙卯
56,冬至,3,645774.2729706244,-2945,12,20,18,33,4.661946818232536,0,32503.772970624384,丙辰
56,春分,0,645866.8929606628,-2944,3,22,9,25,51.80126912891865,0,32596.392960662837,丙辰
56,夏至,1,645960.9462222928,-2944,6,24,10,42,33.606101498007774,0,32690.44622229284,丙辰
56,秋分,2,646050.9084046596,-2944,9,22,9,48,6.162589117884636,0,32780.408404659596,丙辰
57,冬至,3,646139.5090564992,-2944,12,20,0,13,2.4815332889556885,0,32869.00905649923,丁巳
57,春分,0,646232.1327883704,-2943,3,22,15,11,12.915199398994446,0,32961.63278837036,丁巳
57,夏至,1,646326.1890355587,-2943,6,24,16,32,12.672273740172386,0,33055.689035558724,丁巳
57,秋分,2,646416.1495087612,-2943,9,22,15,35,17.556971311569214,0,33145.64950876124,丁巳
58,冬至,3,646504.7523573069,-2943,12,20,6,3,23.67131531238556,0,33234.25235730689,戊午
58,春分,0,646597.3753638653,-2942,3,22,21,0,31.437960639595985,0,33326.875363865285,戊午
58,夏至,1,646691.4302900776,-2942,6,24,22,19,37.06270292401314,0,33420.93029007758,戊午
58,秋分,2,646781.3922593726,-2942,9,22,21,24,51.20979532599449,0,33510.89225937263,戊午
59,冬至,3,646869.9975525003,-2942,12,20,11,56,28.536029309034348,0,33599.49755250034,己未
59,春分,0,646962.6160684582,-2941,3,23,2,47,8.314787149429321,0,33692.116068458185,己未
59,夏至,1,647056.6706905368,-2941,6,25,4,5,47.66238369047642,0,33786.17069053685,己未
59,秋分,2,647146.633069919,-2941,9,23,3,11,37.24099785089493,0,33876.13306991896,己未
60,冬至,3,647235.2303701725,-2941,12,20,17,31,43.98290678858757,0,33964.73037017253,庚申
60,春分,0,647327.8502557967,-2940,3,22,8,24,22.100833654403687,0,34057.350255796686,庚申
60,夏至,1,647421.916298525,-2940,6,24,9,59,28.192555010318756,0,34151.41629852494,庚申
60,秋分,2,647511.8808334577,-2940,9,22,9,8,24.010744392871857,0,34241.38083345769,庚申
61,冬至,3,647600.4742576412,-2940,12,19,23,22,55.86020305752754,0,34329.97425764124,辛酉
61,春分,0,647693.0976340125,-2939,3,22,14,20,35.57867668569088,0,34422.59763401246,辛酉
61,夏至,1,647787.1596678686,-2939,6,24,15,49,55.30384987592697,0,34516.65966786863,辛酉
61,秋分,2,647877.124279696,-2939,9,22,14,58,57.76573687791824,0,34606.62427969603,辛酉
62,冬至,3,647965.7204362624,-2939,12,20,5,17,25.69307416677475,0,34695.22043626243,壬戌
62,春分,0,648058.3405511584,-2938,3,22,20,10,23.620086908340454,0,34787.84055115841,壬戌
62,夏至,1,648152.3989301401,-2938,6,24,21,34,27.56410226225853,0,34881.89893014007,壬戌
62,秋分,2,648242.3691540882,-2938,9,22,20,51,34.91322040557861,0,34971.8691540882,壬戌
63,冬至,3,648330.9640961231,-2938,12,20,11,8,17.9050375521183,0,35060.46409612312,癸亥
63,春分,0,648423.5750747818,-2937,3,23,1,48,6.461145803332329,0,35153.07507478178,癸亥
63,夏至,1,648517.6402475685,-2937,6,25,3,21,57.38991737365723,0,35247.14024756849,癸亥
63,秋分,2,648607.6168376184,-2937,9,23,2,48,14.77023035287857,0,35337.11683761841,癸亥
64,冬至,3,648696.2132323153,-2937,12,20,17,7,3.272038623690605,0,35425.71323231526,甲子
64,春分,0,648788.8217576315,-2936,3,22,7,43,19.859360978007317,0,35518.32175763149,甲子
64,夏至,1,648882.8859509218,-2936,6,24,9,15,46.159643679857254,0,35612.3859509218,甲子
64,秋分,2,648972.8564370021,-2936,9,22,8,33,16.156979352235794,0,35702.356437002076,甲子
65,冬至,3,649061.4557437433,-2936,12,19,22,56,16.259424537420273,0,35790.95574374334,乙丑
65,春分,0,649154.0668582135,-2935,3,22,13,36,16.549647375941277,0,35883.56685821351,乙丑
65,夏至,1,649248.1292305079,-2935,6,24,15,6,5.515881031751633,0,35977.62923050788,乙丑
65,秋分,2,649338.1000497049,-2935,9,22,14,24,4.294502958655357,0,36067.600049704895,乙丑
66,冬至,3,649426.7006160297,-2935,12,20,4,48,53.22496376931667,0,36156.20061602967,丙寅
66,春分,0,649519.3129460143,-2934,3,22,19,30,38.53563889861107,0,36248.81294601434,丙寅
66,夏至,1,649613.3705236159,-2934,6,24,20,53,33.24041001498699,0,36342.87052361586,丙寅
66,秋分,2,649703.3462024506,-2934,9,22,20,18,31.89172938466072,0,36432.84620245057,丙寅
67,冬至,3,649791.9483981854,-2934,12,20,10,45,41.603220999240875,0,36521.44839818543,丁卯
67,春分,0,649884.5592893099,-2933,3,23,1,25,22.59637489914894,0,36614.059289309895,丁卯
67,夏至,1,649978.612432196,-2933,6,25,2,41,54.141737669706345,0,36708.11243219604,丁卯
67,秋分,2,650068.5881454274,-2933,9,23,2,6,55.76492786407471,0,36798.088145427406,丁卯
68,冬至,3,650157.1840379124,-2933,12,20,16,25,0.875631719827652,0,36886.684037912404,戊辰
68,春分,0,650249.7957997164,-2932,3,22,7,5,57.095494866371155,0,36979.295799716376,戊辰
68,夏至,1,650343.8576397883,-2932,6,24,8,35,0.07770918309688568,0,37073.3576397883,戊辰
68,秋分,2,650433.8319955864,-2932,9,22,7,58,4.418664872646332,0,37163.3319955864,戊辰
69,冬至,3,650522.4282728625,-2932,12,19,22,16,42.775315940380096,0,37251.92827286245,己巳
69,春分,0,650615.0437425284,-2931,3,22,13,2,59.354455322027206,0,37344.54374252842,己巳
69,夏至,1,650709.1035545594,-2931,6,24,14,29,7.11393266916275,0,37438.603554559406,己巳
69,秋分,2,650799.072823694,-2931,9,22,13,44,51.96715950965881,0,37528.572823693976,己巳
