(0, 1, 1, 0.38546981289982796),(-842, 12, 21, 0.38546981289982796),0,1413879.885469813,(0, 800609.3854698129)
(1, 1, 1, 0.6287424936890602),(-841, 12, 21, 0.6287424936890602),365,1414245.1287424937,(0, 800974.6287424937)
(2, 1, 1, 0.8697799784131348),(-840, 12, 20, 0.8697799784131348),365,1414610.3697799784,(0, 801339.8697799784)
(3, 1, 2, 0.11438258620910347),(-839, 12, 21, 0.11438258620910347),366,1414975.6143825862,(0, 801705.1143825862)
(4, 1, 1, 0.3629367742687464),(-838, 12, 21, 0.3629367742687464),365,1415340.8629367743,(0, 802070.3629367743)
(5, 1, 1, 0.6020333038177341),(-837, 12, 21, 0.6020333038177341),365,1415706.1020333038,(0, 802435.6020333038)
(6, 1, 1, 0.8456657833885401),(-836, 12, 20, 0.8456657833885401),365,1416071.3456657834,(0, 802800.8456657834)
(7, 1, 2, 0.0924059459939599),(-835, 12, 21, 0.0924059459939599),366,1416436.592405946,(0, 803166.092405946)
(8, 1, 1, 0.331139680929482),(-834, 12, 21, 0.331139680929482),365,1416801.831139681,(0, 803531.3311396809)
(9, 1, 1, 0.5774440851528198),(-833, 12, 21, 0.5774440851528198),365,1417167.0774440852,(0, 803896.5774440852)
(10, 1, 1, 0.8218618370592594),(-832, 12, 20, 0.8218618370592594),365,1417532.321861837,(0, 804261.8218618371)
(11, 1, 2, 0.06425033020786941),(-831, 12, 21, 0.06425033020786941),366,1417897.5642503302,(0, 804627.0642503302)
(12, 1, 1, 0.310200200881809),(-830, 12, 21, 0.310200200881809),365,1418262.8102002009,(0, 804992.3102002009)
(13, 1, 1, 0.5482951472513378),(-829, 12, 21, 0.5482951472513378),365,1418628.0482951473,(0, 805357.5482951473)
(14, 1, 1, 0.7914338321425021),(-828, 12, 20, 0.7914338321425021),365,1418993.2914338321,(0, 805722.7914338321)
(15, 1, 2, 0.04031074023805559),(-827, 12, 21, 0.04031074023805559),366,1419358.5403107402,(0, 806088.0403107402)
(16, 1, 1, 0.2799715178553015),(-826, 12, 21, 0.2799715178553015),365,1419723.7799715179,(0, 806453.2799715179)
(17, 1, 1, 0.5235460088588297),(-825, 12, 21, 0.5235460088588297),365,1420089.0235460089,(0, 806818.5235460089)
(18, 1, 1, 0.7658450463786721),(-824, 12, 20, 0.7658450463786721),365,1420454.2658450464,(0, 807183.7658450464)
(19, 1, 2, 0.004952562274411321),(-823, 12, 21, 0.004952562274411321),366,1420819.5049525623,(0, 807549.0049525623)
(20, 1, 1, 0.2497702888213098),(-822, 12, 21, 0.2497702888213098),365,1421184.7497702888,(0, 807914.2497702888)
(21, 1, 1, 0.4878978827036917),(-821, 12, 21, 0.4878978827036917),365,1421549.9878978827,(0, 808279.4878978827)
(22, 1, 1, 0.7285445588640869),(-820, 12, 20, 0.7285445588640869),365,1421915.2285445589,(0, 808644.7285445589)
(23, 1, 1, 0.9740584108512849),(-819, 12, 20, 0.9740584108512849),365,1422280.4740584109,(0, 809009.9740584109)
(24, 1, 1, 0.21164387930184603),(-818, 12, 21, 0.21164387930184603),366,1422645.7116438793,(0, 809375.2116438793)
(25, 1, 1, 0.4545233575627208),(-817, 12, 21, 0.4545233575627208),365,1423010.9545233576,(0, 809740.4545233576)
